Number,Factorial,log10_factorial,log10_factorial_int,Relative Error Rate
1,1,0.0,0,0.0
2,2,0.3010299956639812,0,0.0
3,6,0.7781512503836436,0,0.0
4,24,1.380211241711606,1,0.041666666666666664
5,120,2.0791812460476247,2,0.008333333333333333
6,720,2.8573324964312685,2,0.0
7,5040,3.7024305364455254,3,0.0
8,40320,4.605520523437469,4,2.48015873015873e-05
9,362880,5.559763032876794,5,0.0
10,3628800,6.559763032876794,6,0.0
11,39916800,7.601155718035018,7,2.505210838544172e-08
12,479001600,8.680336964082644,8,2.08767569878681e-09
13,6227020800,9.79428031638948,9,0.0
14,87178291200,10.940408352067719,10,0.0
15,1307674368000,12.1164996111234,12,0.0
16,20922789888000,13.320619593779325,13,0.0
17,355687428096000,14.5510685151576,14,0.0
18,6402373705728000,15.806341020260904,15,1.4057286271727603e-15
19,121645100408832000,17.085094621213734,17,2.499073114973796e-15
20,2432902008176640000,18.386124616877716,18,2.525379147762994e-15
21,51090942171709440000,19.708343911611635,19,3.2068306638260243e-15
22,1124000727777607680000,21.050766592433842,21,4.081420844869485e-15
23,25852016738884976640000,22.41249442845143,22,3.670743716379512e-15
24,620448401733239439360000,23.792705670163038,23,2.859529635411664e-15
25,15511210043330985984000000,25.190645678835075,25,3.1796887927003084e-15
26,403291461126605635584000000,26.605619026805893,26,2.68979868923993e-15
27,10888869450418352160768000000,28.03698279096488,28,1.4339129489679133e-15
28,304888344611713860501504000000,29.4841408223071,29,1.0011597864908364e-15
29,8841761993739701954543616000000,30.946538820206058,30,2.031096855417509e-15
30,265252859812191058636308480000000,32.42366007492572,32,2.3451993807035527e-15
31,8222838654177922817725562880000000,33.91502176875999,33,7.481764916862912e-16
32,263130836933693530167218012160000000,35.4201717470799,35,4.712813533731809e-17
33,8683317618811886495518194401280000000,36.93868568695778,36,7.134089701337846e-15
34,295232799039604140847618609643520000000,38.47016460400004,38,2.503421627742918e-15
35,10333147966386144929666651337523200000000,40.014232648350315,40,2.4083632552477052e-15
36,371993326789901217467999448150835200000000,41.5705351491176,41,1.355408975300731e-15
37,13763753091226345046315979581580902400000000,43.1387368731846,43,1.4003799955987666e-15
38,523022617466601111760007224100074291200000000,44.71852046980141,44,6.675468491606363e-15
39,20397882081197443358640281739902897356800000000,46.30958507682791,46,8.325677609045412e-16
40,815915283247897734345611269596115894272000000000,47.91164506815587,47,4.59690637137833e-16
41,33452526613163807108170062053440751665152000000000,49.52442892487561,49,3.440058403622275e-15
42,1405006117752879898543142606244511569936384000000000,51.14767821527351,51,4.1791721758582586e-15
43,60415263063373835637355132068513997507264512000000000,52.78114667085309,52,6.714333505357484e-15
44,2658271574788448768043625811014615890319638528000000000,54.42459934733928,54,2.4703036318471135e-15
45,119622220865480194561963161495657715064383733760000000000,56.077811861114625,56,3.044921270783336e-15
46,5502622159812088949850305428800254892961651752960000000000,57.7405696927962,57,3.583176967005988e-15
47,258623241511168180642964355153611979969197632389120000000000,59.41266755073192,59,4.817325196642907e-15
48,12413915592536072670862289047373375038521486354677760000000000,61.093908788107505,61,5.737097967493129e-15
49,608281864034267560872252163321295376887552831379210240000000000,62.78410486813602,62,6.093744552108521e-15
50,30414093201713378043612608166064768844377641568960512000000000000,64.48307487247203,64,1.0460663653365515e-14
